Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Princess Ademiluyi,ENG,"FW,MF",West Ham,2006,18,6,0,42,0.5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,8,0,2.14,2.14,0,2.14,0,0,0,0,0
2,Alyssa Aherne,ENG,MF,Everton,2004,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Olga Ahtinen,FIN,MF,Tottenham,,,11,9,788,8.8,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,8,60,9,0.11,0.23,0.34,0.11,0.34,0.03,0.12,0.15,0.03,0.15
4,Asmita Ale,ENG,DF,Leicester City,2001,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Asmita Ale,ENG,"MF,DF",Tottenham,2001,23,5,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,8,8,0,0,0,0,0,0,0.1,0.1,0,0.1
6,Laia Aleixandri,ESP,DF,Manchester City,2000,24,15,15,1278,14.2,1,3,4,1,0,0,3,1,0.5,0.3,0.7,0.9,19,95,12,0.07,0.21,0.28,0.07,0.28,0.03,0.05,0.08,0.02,0.07
7,Filippa Angeldahl,SWE,MF,Manchester City,1997,27,11,8,624,6.9,0,0,0,0,0,0,2,0,1.2,1.2,0.8,1.9,7,53,51,0,0,0,0,0,0.17,0.11,0.28,0.17,0.28
8,Mackenzie Arnold,AUS,GK,West Ham,1994,30,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,Brooke Aspin,ENG,DF,Bristol City,2005,19,11,10,830,9.2,2,0,2,2,0,0,2,0,0.6,0.6,0,0.6,0,11,0,0.22,0,0.22,0.22,0.22,0.06,0,0.07,0.06,0.07
10,Viviane Asseyi,FRA,"FW,MF",West Ham,1993,31,15,15,1281,14.2,6,1,7,3,3,3,4,0,6.4,4,0.4,4.4,25,41,92,0.42,0.07,0.49,0.21,0.28,0.45,0.03,0.48,0.28,0.31
11,Izzy Atkinson,IRL,"MF,FW",West Ham,2001,23,7,1,172,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,5,17,0,0,0,0,0,0.16,0,0.16,0.16,0.16
12,Rosella Ayane,MAR,"MF,FW",Tottenham,1996,28,8,0,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,6,4,19,0,0,0,0,0,0.18,0.28,0.46,0.18,0.46
13,Sophie Baggaley,ENG,GK,Brighton,1996,28,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ava Baker,ENG,"FW,MF",Leicester City,2006,18,6,0,66,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,7,0,0,0,0,0,0.29,0.13,0.42,0.29,0.42
15,Molly Bartrip,ENG,DF,Tottenham,1996,28,15,15,1350,15,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,35,1,0,0,0,0,0,0,0,0,0,0
16,Jennifer Beattie,SCO,DF,Arsenal,1991,33,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
17,Agnes Beever-Jones,ENG,"FW,MF",Chelsea,2003,21,11,1,254,2.8,5,1,6,5,0,0,0,0,2,2,0.5,2.4,15,8,43,1.77,0.35,2.13,1.77,2.13,0.7,0.17,0.87,0.7,0.87
18,Hanna Bennison,SWE,MF,Everton,2002,22,15,11,955,10.6,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,19,38,21,0.09,0.09,0.19,0.09,0.19,0.03,0.09,0.12,0.03,0.12
19,Francesca Bentley,ENG,GK,Bristol City,2001,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ann-Katrin Berger,GER,GK,Chelsea,1990,34,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Marika Bergman-Lundin,SWE,MF,West Ham,1999,25,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Guro Bergsvand,NOR,DF,Brighton,1994,30,15,15,1350,15,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,5,39,4,0.07,0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05
23,Emma Bissell,ENG,"FW,DF",Everton,2001,23,15,5,532,5.9,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,12,13,38,0,0,0,0,0,0.1,0.01,0.1,0.1,0.1
24,Nathalie Björn,SWE,DF,Chelsea,1997,27,5,5,450,5,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,20,1,0.2,0.2,0.4,0.2,0.4,0.06,0.08,0.14,0.06,0.14
25,Nathalie Björn,SWE,DF,Everton,1997,27,8,6,559,6.2,1,0,1,0,1,1,1,0,1,0.2,0.2,0.4,1,19,7,0.16,0,0.16,0,0,0.16,0.03,0.2,0.03,0.07
26,Stina Blackstenius,SWE,"FW,MF",Arsenal,1996,28,13,3,360,4,4,0,4,4,0,0,0,0,5.7,5.7,0.6,6.4,13,11,35,1,0,1,1,1,1.43,0.16,1.59,1.43,1.59
27,Julie Blakstad,NOR,"DF,MF",Manchester City,2001,23,4,1,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,11,8,0,0,0,0,0,0.13,0.04,0.17,0.13,0.17
28,Laura Blindkilde,ENG,MF,Aston Villa,2003,21,9,8,631,7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,19,36,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
29,Laura Blindkilde,ENG,FW,Manchester City,2003,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Hannah Blundell,ENG,DF,Manchester Utd,1994,30,15,15,1332,14.8,1,2,3,1,0,0,1,0,0.3,0.3,0.6,0.9,16,95,41,0.07,0.14,0.2,0.07,0.2,0.02,0.04,0.06,0.02,0.06
31,Missy Bo Kearns,ENG,"MF,FW",Liverpool,2001,23,14,7,641,7.1,0,1,1,0,0,0,1,0,1.3,1.3,1.5,2.7,3,17,44,0,0.14,0.14,0,0.14,0.18,0.21,0.38,0.18,0.38
32,Gemma Bonner,ENG,DF,Liverpool,1991,33,15,15,1263,14,1,0,1,1,0,0,5,0,0.7,0.7,0.2,0.9,2,34,1,0.07,0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
33,CJ Bott,NZL,"DF,MF",Leicester City,1995,29,13,10,881,9.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,22,48,14,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
34,Ellie Brazil,ENG,"MF,FW",Tottenham,1999,25,2,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,2,5,0,0,0,0,0,0.24,0,0.24,0.24,0.24
35,Pauline Bremer,GER,"FW,MF",Brighton,1996,28,14,13,1075,11.9,2,2,4,2,0,0,0,0,1.5,1.5,1.7,3.1,31,24,97,0.17,0.17,0.33,0.17,0.33,0.12,0.14,0.26,0.12,0.26
36,Millie Bright,ENG,DF,Chelsea,1993,31,6,6,527,5.9,1,0,1,1,0,0,0,0,1,1,0.5,1.5,1,30,1,0.17,0,0.17,0.17,0.17,0.16,0.08,0.25,0.16,0.25
